mz,time,FS__blank11_pos,FS__blank15_pos,FS__blank7_pos,FS_CalCurve_blank2_pos,FS_CalCurve_blank3_pos,FS__BaldegerseeA_pos,FS__BaldegerseeB_pos,FS__Greifensee072A_pos,FS__Greifensee072B_pos,FS__Greifensee082A_pos,FS__Greifensee082B_pos,FS__Greifensee092A_pos,FS__Greifensee092B_pos,FS_CalCurve_AnaA_05_pos,FS_CalCurve_calmix_00005_pos,FS_CalCurve_calmix_0001_pos,FS_CalCurve_calmix_0005_pos,FS_CalCurve_calmix_001_pos,FS_CalCurve_calmix_005_pos,FS_CalCurve_calmix_00625_pos,FS_CalCurve_calmix_0125_pos,FS_CalCurve_calmix_025_pos,FS_CalCurve_CyanoA_05_pos,FS_CalCurve_MC_05_pos,FS_CalCuve_calmix_0025_pos
813.3898455,1027.237762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,404250.5447,NA,NA,NA,NA,NA,120416.2991,NA,NA,NA,NA,NA
813.4414797,447.518655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,492849.7509,NA,NA,NA,4445603.917,NA
813.5921176,1041.481962,NA,NA,NA,NA,NA,NA,NA,2069523.093,656816.5849,NA,160623.723,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
813.8621653,959.2486877,NA,NA,NA,NA,NA,NA,NA,NA,906170.0931,NA,747572.7228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
814.1257511,1112.670188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,258659.0306,NA,NA,NA,NA,NA,NA,NA,NA,235663.7259,NA,NA
814.3368646,429.4440679,NA,NA,NA,NA,NA,13732381.72,8591554.132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
814.3975269,1027.641755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,265263.2656,NA,NA,NA,NA,NA,NA,157260.5907,NA,NA,NA,NA
814.4990575,1090.103186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,367534.6095,NA,NA,NA,NA,NA,NA,NA,282245.1522,NA,NA,NA
814.5781244,324.9081796,NA,NA,42283.8243,NA,NA,NA,NA,NA,356153.3995,NA,336338.6644,802931.3977,532121.0369,NA,NA,NA,NA,NA,42290.54104,NA,NA,NA,NA,89514.0001,NA
814.9289769,209.7784037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90336.19853,96608.9254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
815.2147585,1683.951517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6267.601983,8755.983014,NA,4641.233828,6260.983078,NA,NA,NA,NA,NA,NA,NA,NA,NA
815.4344576,645.7236912,NA,NA,NA,NA,NA,299252.7263,421627.0953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
815.5263032,994.6341615,NA,NA,NA,NA,NA,370302.1988,470586.772,NA,NA,NA,NA,380137.1288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
815.5650397,1564.422368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94597.3261,NA,NA,NA,904495.5524,NA,NA,122124.2429,NA,NA,NA,NA,NA,NA,NA
816.4289145,425.386084,NA,NA,NA,NA,NA,4721360.293,NA,NA,NA,NA,NA,NA,NA,2335384.624,NA,NA,NA,NA,NA,269649.3978,NA,NA,NA,NA,NA
816.5624683,982.5190917,NA,NA,NA,NA,NA,NA,NA,NA,5018597.494,NA,2308489.417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
816.640722,1144.640691,NA,NA,NA,NA,NA,NA,NA,NA,206473.087,NA,NA,156785.1665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
817.1938033,1246.643123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100824.9076,NA,1310822.701,703845.1866,NA,NA
817.4275743,514.0506284,NA,NA,NA,NA,NA,890607557.3,545148632.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
817.4810972,1560.36129,NA,NA,NA,NA,NA,NA,NA,NA,NA,818596.8467,NA,544532.5901,604631.324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
817.4931581,349.2012413,NA,NA,NA,NA,NA,13013026,2603987.829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
817.6001605,1013.680952,NA,NA,NA,NA,NA,NA,2359568.172,NA,NA,227096.0267,NA,1624294.919,1815542.082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
818.2793565,1113.773657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,332653.8998,NA,NA,NA,NA,NA,NA,NA,322734.4768,NA,NA,NA
818.4087117,548.1236147,NA,NA,NA,NA,NA,7259791.755,22721845.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
818.4021709,437.2678545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,883857.1704,NA,494572.7457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
